Time,Channel A,Channel B
(ms),(mV),(V)

-2.36449595,0.39370080,-0.07874016
-2.36408795,0.78740160,0.00000000
-2.36367995,0.00000000,0.00000000
-2.36327195,0.78740160,0.00000000
-2.36286395,0.78740160,0.00000000
-2.36245595,0.39370080,-0.07874016
-2.36204795,0.78740160,-0.07874016
-2.36163995,0.78740160,-0.07874016
-2.36123195,0.39370080,0.00000000
-2.36082395,0.78740160,0.00000000
-2.36041595,0.39370080,0.00000000
-2.36000795,0.78740160,0.00000000
-2.35959995,0.39370080,0.00000000
-2.35919195,0.39370080,0.00000000
-2.35878395,0.78740160,0.00000000
-2.35837595,0.39370080,0.00000000
-2.35796795,0.78740160,0.00000000
-2.35755995,0.39370080,-0.07874016
-2.35715195,0.78740160,0.00000000
-2.35674395,0.39370080,0.00000000
-2.35633595,0.39370080,0.00000000
-2.35592795,0.78740160,0.00000000
-2.35551995,0.78740160,0.00000000
-2.35511195,0.78740160,0.00000000
-2.35470395,0.39370080,0.00000000
-2.35429595,0.39370080,0.00000000
-2.35388795,0.78740160,0.00000000
-2.35347995,0.39370080,0.00000000
-2.35307195,0.39370080,0.00000000
-2.35266395,0.39370080,0.00000000
-2.35225595,0.78740160,0.00000000
-2.35184795,0.39370080,0.00000000
-2.35143995,0.39370080,-0.07874016
-2.35103195,0.78740160,0.00000000
-2.35062395,0.78740160,0.00000000
-2.35021595,0.39370080,-0.07874016
-2.34980795,0.39370080,-0.07874016
-2.34939995,0.39370080,0.00000000
-2.34899195,0.39370080,0.00000000
-2.34858395,0.39370080,0.00000000
-2.34817595,0.39370080,0.00000000
-2.34776795,0.78740160,-0.07874016
-2.34735995,0.78740160,0.00000000
-2.34695195,0.39370080,0.00000000
-2.34654395,0.39370080,0.00000000
-2.34613595,0.78740160,-0.07874016
-2.34572795,0.39370080,0.00000000
-2.34531995,0.78740160,0.00000000
-2.34491195,0.39370080,0.00000000
-2.34450395,0.39370080,0.00000000
-2.34409595,0.78740160,-0.07874016
-2.34368795,0.39370080,-0.07874016
-2.34327995,0.39370080,0.00000000
-2.34287195,0.78740160,0.00000000
-2.34246395,0.78740160,-0.07874016
-2.34205595,0.39370080,0.00000000
-2.34164795,0.78740160,-0.07874016
-2.34123995,0.39370080,-0.07874016
-2.34083195,0.39370080,0.00000000
-2.34042395,0.39370080,-0.07874016
-2.34001595,0.78740160,0.00000000
-2.33960795,0.78740160,0.00000000
-2.33919995,0.39370080,0.00000000
-2.33879195,0.78740160,-0.07874016
-2.33838395,0.39370080,0.00000000
-2.33797595,0.78740160,-0.07874016
-2.33756795,0.39370080,0.00000000
-2.33715995,0.39370080,0.00000000
-2.33675195,0.39370080,0.00000000
-2.33634395,0.39370080,0.00000000
-2.33593595,0.78740160,0.00000000
-2.33552795,0.78740160,0.00000000
-2.33511995,0.78740160,0.00000000
-2.33471195,0.39370080,0.00000000
-2.33430395,0.39370080,0.00000000
-2.33389595,0.78740160,0.00000000
-2.33348795,0.00000000,-0.07874016
-2.33307995,0.78740160,0.00000000
-2.33267195,0.78740160,-0.07874016
-2.33226395,0.39370080,0.00000000
-2.33185595,0.39370080,-0.07874016
-2.33144795,0.78740160,-0.07874016
-2.33103995,0.39370080,0.00000000
-2.33063195,0.39370080,0.00000000
-2.33022395,0.39370080,0.00000000
-2.32981595,0.39370080,0.00000000
-2.32940795,0.78740160,0.00000000
-2.32899995,0.78740160,0.00000000
-2.32859195,0.39370080,-0.07874016
-2.32818395,0.78740160,-0.07874016
-2.32777595,0.39370080,0.00000000
-2.32736795,0.39370080,0.00000000
-2.32695995,0.39370080,0.00000000
-2.32655195,0.39370080,0.00000000
-2.32614395,0.39370080,0.00000000
-2.32573595,0.78740160,0.00000000
-2.32532795,0.39370080,0.00000000
-2.32491995,0.39370080,0.00000000
-2.32451195,0.39370080,0.00000000
-2.32410395,0.39370080,0.00000000
-2.32369595,0.78740160,-0.07874016
-2.32328795,0.78740160,0.00000000
-2.32287995,0.39370080,0.00000000
-2.32247195,0.78740160,0.00000000
-2.32206395,0.39370080,0.00000000
-2.32165595,0.78740160,-0.07874016
-2.32124795,0.39370080,-0.07874016
-2.32083995,0.78740160,-0.07874016
-2.32043195,0.39370080,-0.07874016
-2.32002395,0.39370080,-0.07874016
-2.31961595,0.00000000,0.00000000
-2.31920795,0.39370080,-0.07874016
-2.31879995,0.39370080,0.00000000
-2.31839195,0.78740160,-0.07874016
-2.31798395,0.39370080,0.00000000
-2.31757595,0.39370080,0.00000000
-2.31716795,0.39370080,0.00000000
-2.31675995,0.39370080,0.00000000
-2.31635195,0.78740160,-0.07874016
-2.31594395,0.39370080,0.00000000
-2.31553595,0.78740160,0.00000000
-2.31512795,0.39370080,-0.07874016
-2.31471995,0.78740160,0.00000000
-2.31431195,0.78740160,0.00000000
-2.31390395,0.39370080,0.00000000
-2.31349595,0.39370080,-0.07874016
-2.31308795,0.39370080,0.00000000
-2.31267995,0.78740160,-0.07874016
-2.31227195,0.78740160,0.00000000
-2.31186395,0.78740160,0.00000000
-2.31145595,0.78740160,-0.07874016
-2.31104795,0.39370080,0.00000000
-2.31063995,0.39370080,-0.07874016
-2.31023195,0.78740160,0.00000000
-2.30982395,0.39370080,0.00000000
-2.30941595,0.39370080,0.00000000
-2.30900795,0.39370080,-0.07874016
-2.30859995,0.39370080,-0.07874016
-2.30819195,0.39370080,-0.07874016
-2.30778395,0.78740160,0.00000000
-2.30737595,0.39370080,0.00000000
-2.30696795,0.39370080,0.00000000
-2.30655995,0.39370080,0.00000000
-2.30615195,0.78740160,-0.07874016
-2.30574395,0.39370080,0.00000000
-2.30533595,0.78740160,-0.07874016
-2.30492795,0.39370080,0.00000000
-2.30451995,0.78740160,0.00000000
-2.30411195,0.39370080,0.00000000
-2.30370395,0.78740160,0.00000000
-2.30329595,0.39370080,0.00000000
-2.30288795,0.78740160,-0.07874016
-2.30247995,0.39370080,0.00000000
-2.30207195,0.39370080,0.00000000
-2.30166395,0.39370080,0.00000000
-2.30125595,0.78740160,0.00000000
-2.30084795,0.39370080,0.00000000
-2.30043995,0.78740160,0.00000000
-2.30003195,0.78740160,0.00000000
-2.29962395,0.39370080,-0.07874016
-2.29921595,0.00000000,0.00000000
-2.29880795,0.39370080,-0.07874016
-2.29839995,0.39370080,-0.07874016
