Time,Channel A,Channel B
(ms),(mV),(V)

-2.36467728,0.39370080,0.00000000
-2.36426928,0.39370080,0.00000000
-2.36386128,0.39370080,0.00000000
-2.36345328,0.39370080,0.00000000
-2.36304528,0.78740160,0.00000000
-2.36263728,0.00000000,0.00000000
-2.36222928,0.78740160,0.00000000
-2.36182128,0.39370080,0.00000000
-2.36141328,0.39370080,0.00000000
-2.36100528,0.39370080,0.00000000
-2.36059728,0.39370080,0.00000000
-2.36018928,0.00000000,-0.07874016
-2.35978128,0.39370080,-0.07874016
-2.35937328,0.39370080,0.00000000
-2.35896528,0.39370080,0.00000000
-2.35855728,0.39370080,-0.07874016
-2.35814928,0.39370080,0.00000000
-2.35774128,0.39370080,0.00000000
-2.35733328,0.39370080,0.00000000
-2.35692528,0.00000000,0.00000000
-2.35651728,0.39370080,0.00000000
-2.35610928,0.39370080,0.00000000
-2.35570128,0.00000000,0.00000000
-2.35529328,0.39370080,0.00000000
-2.35488528,0.39370080,0.00000000
-2.35447728,0.78740160,-0.07874016
-2.35406928,0.39370080,-0.07874016
-2.35366128,0.00000000,-0.07874016
-2.35325328,0.39370080,0.00000000
-2.35284528,0.78740160,0.00000000
-2.35243728,0.39370080,0.00000000
-2.35202928,0.39370080,0.00000000
-2.35162128,0.39370080,0.00000000
-2.35121328,0.39370080,-0.07874016
-2.35080528,0.00000000,0.00000000
-2.35039728,0.39370080,0.00000000
-2.34998928,0.78740160,0.00000000
-2.34958128,0.39370080,-0.07874016
-2.34917328,0.39370080,0.00000000
-2.34876528,0.78740160,-0.07874016
-2.34835728,0.78740160,0.00000000
-2.34794928,0.39370080,0.00000000
-2.34754128,0.39370080,0.00000000
-2.34713328,0.39370080,0.00000000
-2.34672528,0.78740160,0.00000000
-2.34631728,0.39370080,0.00000000
-2.34590928,0.39370080,0.00000000
-2.34550128,0.39370080,-0.07874016
-2.34509328,0.39370080,0.00000000
-2.34468528,0.39370080,0.00000000
-2.34427728,0.39370080,0.00000000
-2.34386928,0.39370080,0.00000000
-2.34346128,0.39370080,0.00000000
-2.34305328,0.39370080,0.00000000
-2.34264528,0.39370080,0.00000000
-2.34223728,0.39370080,0.00000000
-2.34182928,0.78740160,0.00000000
-2.34142128,0.78740160,0.00000000
-2.34101328,0.39370080,0.00000000
-2.34060528,0.39370080,0.00000000
-2.34019728,0.39370080,0.00000000
-2.33978928,0.39370080,0.00000000
-2.33938128,0.39370080,0.00000000
-2.33897328,0.78740160,0.00000000
-2.33856528,0.39370080,0.00000000
-2.33815728,0.78740160,0.00000000
-2.33774928,0.39370080,0.00000000
-2.33734128,0.39370080,0.00000000
-2.33693328,0.39370080,0.00000000
-2.33652528,0.39370080,0.00000000
-2.33611728,0.39370080,0.00000000
-2.33570928,0.39370080,-0.07874016
-2.33530128,0.39370080,0.00000000
-2.33489328,0.39370080,0.00000000
-2.33448528,0.78740160,0.00000000
-2.33407728,0.39370080,0.00000000
-2.33366928,0.39370080,-0.07874016
-2.33326128,0.00000000,0.00000000
-2.33285328,0.00000000,0.00000000
-2.33244528,0.78740160,0.00000000
-2.33203728,0.39370080,0.00000000
-2.33162928,0.78740160,-0.07874016
-2.33122128,0.39370080,0.00000000
-2.33081328,0.39370080,0.00000000
-2.33040528,0.39370080,0.00000000
-2.32999728,0.39370080,0.00000000
-2.32958928,0.39370080,0.00000000
-2.32918128,0.39370080,0.00000000
-2.32877328,0.39370080,0.00000000
-2.32836528,0.39370080,-0.07874016
-2.32795728,0.39370080,-0.07874016
-2.32754928,0.78740160,0.00000000
-2.32714128,0.39370080,0.00000000
-2.32673328,0.39370080,0.00000000
-2.32632528,0.39370080,-0.07874016
-2.32591728,0.39370080,0.00000000
-2.32550928,0.39370080,-0.07874016
-2.32510128,0.39370080,0.00000000
-2.32469328,0.39370080,0.00000000
-2.32428528,0.39370080,0.00000000
-2.32387728,0.78740160,0.00000000
-2.32346928,0.39370080,-0.07874016
-2.32306128,0.39370080,0.00000000
-2.32265328,0.39370080,0.00000000
-2.32224528,0.39370080,0.00000000
-2.32183728,0.39370080,0.00000000
-2.32142928,0.39370080,0.00000000
-2.32102128,0.39370080,-0.07874016
-2.32061328,0.39370080,-0.07874016
-2.32020528,0.39370080,0.00000000
-2.31979728,0.39370080,0.00000000
-2.31938928,0.78740160,0.00000000
-2.31898128,0.78740160,0.00000000
-2.31857328,0.39370080,0.00000000
-2.31816528,0.39370080,-0.07874016
-2.31775728,0.39370080,0.00000000
-2.31734928,0.39370080,-0.07874016
-2.31694128,0.39370080,0.00000000
-2.31653328,0.78740160,0.00000000
-2.31612528,0.00000000,0.00000000
-2.31571728,0.39370080,0.00000000
-2.31530928,0.00000000,0.00000000
-2.31490128,0.39370080,0.00000000
-2.31449328,0.39370080,-0.07874016
-2.31408528,0.39370080,0.00000000
-2.31367728,0.78740160,0.00000000
-2.31326928,0.39370080,0.00000000
-2.31286128,0.39370080,-0.07874016
-2.31245328,0.39370080,0.00000000
-2.31204528,0.78740160,-0.07874016
-2.31163728,0.39370080,0.00000000
-2.31122928,0.00000000,0.00000000
-2.31082128,0.00000000,0.00000000
-2.31041328,0.39370080,0.00000000
-2.31000528,0.00000000,0.00000000
-2.30959728,0.39370080,0.00000000
-2.30918928,0.39370080,0.00000000
-2.30878128,0.00000000,0.00000000
-2.30837328,0.39370080,-0.07874016
-2.30796528,0.39370080,0.00000000
-2.30755728,0.39370080,0.00000000
-2.30714928,0.39370080,0.00000000
-2.30674128,0.39370080,0.00000000
-2.30633328,0.39370080,0.00000000
-2.30592528,0.78740160,0.00000000
-2.30551728,0.39370080,0.00000000
-2.30510928,0.39370080,0.00000000
-2.30470128,0.39370080,0.00000000
-2.30429328,0.39370080,-0.07874016
-2.30388528,0.39370080,-0.07874016
-2.30347728,0.39370080,0.00000000
-2.30306928,0.78740160,0.00000000
-2.30266129,0.00000000,0.00000000
-2.30225329,0.39370080,0.00000000
-2.30184529,0.39370080,0.00000000
-2.30143729,0.39370080,-0.07874016
-2.30102929,0.39370080,0.00000000
-2.30062129,0.39370080,0.00000000
-2.30021329,0.39370080,0.00000000
-2.29980529,0.39370080,0.00000000
-2.29939729,0.39370080,0.00000000
-2.29898929,0.39370080,-0.07874016
-2.29858129,0.39370080,0.00000000
-2.29817329,0.39370080,-0.07874016
